"Rank","Player","Matchup","Salary","Avg","Prob","Status"
1,"Aaron Gordon","BOS@ORL 11/05/2017 06:00PM ET",7100,37.536,0.314,""
2,"Otto Porter","WAS@TOR 11/05/2017 06:00PM ET",6700,37,0.252,""
3,"LaMarcus Aldridge","PHO@SA 11/05/2017 07:00PM ET",8300,40.556,0.204,""
4,"Kristaps Porzingis","IND@NY 11/05/2017 07:30PM ET",9300,44.688,0.092,"GTD"
5,"Carmelo Anthony","OKC@POR 11/05/2017 09:00PM ET",6900,35.781,0.037,""
6,"Al Horford","BOS@ORL 11/05/2017 06:00PM ET",7200,35.472,0.025,""
7,"Enes Kanter","IND@NY 11/05/2017 07:30PM ET",6000,30.813,0.016,""
8,"Andrew Wiggins","CHA@MIN 11/05/2017 08:00PM ET",6800,30.528,0.014,""
9,"T.J. Warren","PHO@SA 11/05/2017 07:00PM ET",5800,28.583,0.012,"GTD"
10,"Thaddeus Young","IND@NY 11/05/2017 07:30PM ET",5500,28.444,0.01,""
11,"Frank Kaminsky","CHA@MIN 11/05/2017 08:00PM ET",4500,21.938,0.008,""
12,"Ryan Anderson","UTA@HOU 11/05/2017 07:00PM ET",4600,23.925,0.004,""
13,"Jayson Tatum","BOS@ORL 11/05/2017 06:00PM ET",5700,27.639,0.003,""
14,"Serge Ibaka","WAS@TOR 11/05/2017 06:00PM ET",4900,22.679,0.003,""
15,"Jakob Poeltl","WAS@TOR 11/05/2017 06:00PM ET",4400,20.531,0.003,""
16,"Marquese Chriss","PHO@SA 11/05/2017 07:00PM ET",4200,18.889,0.002,""
17,"P.J. Tucker","UTA@HOU 11/05/2017 07:00PM ET",3800,18.125,0.001,""
18,"Marcus Morris","BOS@ORL 11/05/2017 06:00PM ET",4300,17,0,""
19,"Daniel Theis","BOS@ORL 11/05/2017 06:00PM ET",3000,12.688,0,""
20,"Guerschon Yabusele","BOS@ORL 11/05/2017 06:00PM ET",3000,5.063,0,""
21,"Abdel Nader","BOS@ORL 11/05/2017 06:00PM ET",3000,5.65,0,""
22,"Semi Ojeleye","BOS@ORL 11/05/2017 06:00PM ET",3000,5.719,0,""
23,"Marvin Williams","CHA@MIN 11/05/2017 08:00PM ET",3900,17.889,0,""
24,"Mangok Mathiang","CHA@MIN 11/05/2017 08:00PM ET",3000,2.5,0,""
25,"Johnny O'Bryant III","CHA@MIN 11/05/2017 08:00PM ET",3000,12.95,0,""
26,"Luc Richard Mbah a Moute","UTA@HOU 11/05/2017 07:00PM ET",3700,19.725,0,""
27,"Tarik Black","UTA@HOU 11/05/2017 07:00PM ET",3200,9.917,0,""
28,"Zhou Qi","UTA@HOU 11/05/2017 07:00PM ET",3000,3.063,0,""
29,"Chinanu Onuaku","UTA@HOU 11/05/2017 07:00PM ET",3000,0,0,""
30,"Domantas Sabonis","IND@NY 11/05/2017 07:30PM ET",6400,32.028,0,""
31,"Al Jefferson","IND@NY 11/05/2017 07:30PM ET",3600,17.75,0,""
32,"Ike Anigbogu","IND@NY 11/05/2017 07:30PM ET",3000,2.375,0,""
33,"Kyle Kuzma","MEM@LAL 11/05/2017 09:30PM ET",5600,26.583,0,""
34,"Julius Randle","MEM@LAL 11/05/2017 09:30PM ET",4900,21.75,0,""
35,"Luol Deng","MEM@LAL 11/05/2017 09:30PM ET",3000,5,0,""
36,"Thomas Bryant","MEM@LAL 11/05/2017 09:30PM ET",3000,0,0,""
37,"Jarell Martin","MEM@LAL 11/05/2017 09:30PM ET",3800,15.222,0,""
38,"Chandler Parsons","MEM@LAL 11/05/2017 09:30PM ET",3400,17.406,0,""
39,"Brandan Wright","MEM@LAL 11/05/2017 09:30PM ET",3100,13.639,0,""
