"Rank","Player","Matchup","Salary","Avg","Prob","Status"
1,"Russell Westbrook","OKC@POR 11/05/2017 09:00PM ET",10600,51.969,0.53,""
2,"James Harden","UTA@HOU 11/05/2017 07:00PM ET",10100,50.7,0.189,""
3,"Lonzo Ball","MEM@LAL 11/05/2017 09:30PM ET",6200,30.25,0.081,""
4,"Darren Collison","IND@NY 11/05/2017 07:30PM ET",6200,29.917,0.046,""
5,"Victor Oladipo","IND@NY 11/05/2017 07:30PM ET",8200,39.556,0.04,""
6,"Damian Lillard","OKC@POR 11/05/2017 09:00PM ET",9100,45.694,0.038,""
7,"Kyle Lowry","WAS@TOR 11/05/2017 06:00PM ET",7400,33.875,0.03,""
8,"John Wall","WAS@TOR 11/05/2017 06:00PM ET",9500,44.469,0.014,"GTD"
9,"Kyrie Irving","BOS@ORL 11/05/2017 06:00PM ET",8500,41.194,0.012,""
10,"Ricky Rubio","UTA@HOU 11/05/2017 07:00PM ET",6800,34.861,0.008,""
11,"Kemba Walker","CHA@MIN 11/05/2017 08:00PM ET",7300,38.306,0.006,""
12,"Elfrid Payton","BOS@ORL 11/05/2017 06:00PM ET",6500,24.5,0.003,"GTD"
13,"C.J. McCollum","OKC@POR 11/05/2017 09:00PM ET",7500,35.594,0.002,""
14,"Donovan Mitchell","UTA@HOU 11/05/2017 07:00PM ET",3800,22.472,0.001,""
15,"Terry Rozier","BOS@ORL 11/05/2017 06:00PM ET",3800,22.778,0,""
16,"Shane Larkin","BOS@ORL 11/05/2017 06:00PM ET",3000,7.714,0,""
17,"Malik Monk","CHA@MIN 11/05/2017 08:00PM ET",4200,15.556,0,""
18,"Michael Carter-Williams","CHA@MIN 11/05/2017 08:00PM ET",3200,0,0,""
19,"Marcus Paige","CHA@MIN 11/05/2017 08:00PM ET",3000,2.5,0,""
20,"Bobby Brown","UTA@HOU 11/05/2017 07:00PM ET",3200,7.4,0,""
21,"Demetrius Jackson","UTA@HOU 11/05/2017 07:00PM ET",3000,4.214,0,""
22,"Briante Weber","UTA@HOU 11/05/2017 07:00PM ET",3000,0,0,""
23,"Cory Joseph","IND@NY 11/05/2017 07:30PM ET",3500,19.222,0,""
24,"Joe Young","IND@NY 11/05/2017 07:30PM ET",3000,4.208,0,""
25,"Jordan Clarkson","MEM@LAL 11/05/2017 09:30PM ET",4200,22.972,0,""
26,"Alex Caruso","MEM@LAL 11/05/2017 09:30PM ET",3000,4.75,0,""
27,"Vander Blue","MEM@LAL 11/05/2017 09:30PM ET",3000,0,0,""
28,"Josh Hart","MEM@LAL 11/05/2017 09:30PM ET",3000,9.156,0,""
29,"Tyler Ennis","MEM@LAL 11/05/2017 09:30PM ET",3000,4.821,0,""
30,"Mike Conley","MEM@LAL 11/05/2017 09:30PM ET",7300,29.875,0,""
31,"Mario Chalmers","MEM@LAL 11/05/2017 09:30PM ET",4000,18.944,0,""
32,"Andrew Harrison","MEM@LAL 11/05/2017 09:30PM ET",3400,10.469,0,""
33,"Wayne Selden Jr.","MEM@LAL 11/05/2017 09:30PM ET",3000,0,0,"GTD"
34,"Jeff Teague","CHA@MIN 11/05/2017 08:00PM ET",6400,32.278,0,""
35,"Tyus Jones","CHA@MIN 11/05/2017 08:00PM ET",3000,8.583,0,""
36,"Aaron Brooks","CHA@MIN 11/05/2017 08:00PM ET",3000,2.5,0,""
37,"Jarrett Jack","IND@NY 11/05/2017 07:30PM ET",4600,19.417,0,""
38,"Frank Ntilikina","IND@NY 11/05/2017 07:30PM ET",3800,13.25,0,""
39,"Ramon Sessions","IND@NY 11/05/2017 07:30PM ET",3700,15.875,0,""
40,"Ron Baker","IND@NY 11/05/2017 07:30PM ET",3000,12,0,"GTD"
41,"Raymond Felton","OKC@POR 11/05/2017 09:00PM ET",3500,16.531,0,""
42,"PJ Dozier","OKC@POR 11/05/2017 09:00PM ET",3000,0,0,""
43,"D.J. Augustin","BOS@ORL 11/05/2017 06:00PM ET",4700,21.188,0,"GTD"
44,"Shelvin Mack","BOS@ORL 11/05/2017 06:00PM ET",4300,16.406,0,""
45,"Mario Hezonja","BOS@ORL 11/05/2017 06:00PM ET",3000,8.844,0,""
46,"Mike James","PHO@SA 11/05/2017 07:00PM ET",5000,24.056,0,""
47,"Tyler Ulis","PHO@SA 11/05/2017 07:00PM ET",3800,16.063,0,""
48,"Shabazz Napier","OKC@POR 11/05/2017 09:00PM ET",3100,7.125,0,""
49,"Dejounte Murray","PHO@SA 11/05/2017 07:00PM ET",5200,22.556,0,""
50,"Patty Mills","PHO@SA 11/05/2017 07:00PM ET",3500,14.806,0,""
51,"Bryn Forbes","PHO@SA 11/05/2017 07:00PM ET",3400,9.781,0,""
52,"Derrick White","PHO@SA 11/05/2017 07:00PM ET",3000,5.167,0,""
53,"Delon Wright","WAS@TOR 11/05/2017 06:00PM ET",3700,17.406,0,""
54,"Lorenzo Brown","WAS@TOR 11/05/2017 06:00PM ET",3000,0,0,""
55,"Fred VanVleet","WAS@TOR 11/05/2017 06:00PM ET",3000,8.094,0,""
56,"Alec Burks","UTA@HOU 11/05/2017 07:00PM ET",3100,10.344,0,""
57,"Raul Neto","UTA@HOU 11/05/2017 07:00PM ET",3000,6.563,0,""
58,"Nate Wolters","UTA@HOU 11/05/2017 07:00PM ET",3000,0,0,""
59,"Tim Frazier","WAS@TOR 11/05/2017 06:00PM ET",3900,12.375,0,""
60,"Tomas Satoransky","WAS@TOR 11/05/2017 06:00PM ET",3600,8,0,""
