"Rank","Player","Matchup","Salary","Avg","Prob","Status"
1,"Aaron Gordon","BOS@ORL 11/05/2017 06:00PM ET",7100,37.536,0.278,""
2,"Otto Porter","WAS@TOR 11/05/2017 06:00PM ET",6700,37,0.258,""
3,"Devin Booker","PHO@SA 11/05/2017 07:00PM ET",7800,38.139,0.166,""
4,"Evan Fournier","BOS@ORL 11/05/2017 06:00PM ET",6900,36.75,0.087,""
5,"DeMar DeRozan","WAS@TOR 11/05/2017 06:00PM ET",7600,36.281,0.047,""
6,"Carmelo Anthony","OKC@POR 11/05/2017 09:00PM ET",6900,35.781,0.036,""
7,"Andrew Wiggins","CHA@MIN 11/05/2017 08:00PM ET",6800,30.528,0.025,""
8,"Paul George","OKC@POR 11/05/2017 09:00PM ET",7200,35.594,0.024,""
9,"Thaddeus Young","IND@NY 11/05/2017 07:30PM ET",5500,28.444,0.021,""
10,"T.J. Warren","PHO@SA 11/05/2017 07:00PM ET",5800,28.583,0.015,"GTD"
11,"Jayson Tatum","BOS@ORL 11/05/2017 06:00PM ET",5700,27.639,0.012,""
12,"Danny Green","PHO@SA 11/05/2017 07:00PM ET",4700,22.306,0.011,""
13,"Dillon Brooks","MEM@LAL 11/05/2017 09:30PM ET",3900,17.556,0.008,""
14,"Brandon Ingram","MEM@LAL 11/05/2017 09:30PM ET",6000,28.333,0.006,""
15,"Terrence Ross","BOS@ORL 11/05/2017 06:00PM ET",3900,19.389,0.004,""
16,"Marcus Smart","BOS@ORL 11/05/2017 06:00PM ET",5100,25.857,0.002,""
17,"Jaylen Brown","BOS@ORL 11/05/2017 06:00PM ET",5800,27.806,0,""
18,"Marcus Morris","BOS@ORL 11/05/2017 06:00PM ET",4300,17,0,""
19,"Semi Ojeleye","BOS@ORL 11/05/2017 06:00PM ET",3000,5.719,0,""
20,"Jeremy Lamb","CHA@MIN 11/05/2017 08:00PM ET",6000,32.111,0,""
21,"Marvin Williams","CHA@MIN 11/05/2017 08:00PM ET",3900,17.889,0,""
22,"Dwayne Bacon","CHA@MIN 11/05/2017 08:00PM ET",3000,16.444,0,""
23,"Treveon Graham","CHA@MIN 11/05/2017 08:00PM ET",3000,11.156,0,""
24,"Trevor Ariza","UTA@HOU 11/05/2017 07:00PM ET",4600,22.75,0,""
25,"P.J. Tucker","UTA@HOU 11/05/2017 07:00PM ET",3800,18.125,0,""
26,"Luc Richard Mbah a Moute","UTA@HOU 11/05/2017 07:00PM ET",3700,19.725,0,""
27,"Bojan Bogdanovic","IND@NY 11/05/2017 07:30PM ET",4600,21.778,0,""
28,"Lance Stephenson","IND@NY 11/05/2017 07:30PM ET",3200,14,0,""
29,"Alex Poythress","IND@NY 11/05/2017 07:30PM ET",3000,2.25,0,""
30,"Damien Wilkins","IND@NY 11/05/2017 07:30PM ET",3000,3.143,0,""
31,"Kyle Kuzma","MEM@LAL 11/05/2017 09:30PM ET",5600,26.583,0,""
32,"Luol Deng","MEM@LAL 11/05/2017 09:30PM ET",3000,5,0,""
33,"Corey Brewer","MEM@LAL 11/05/2017 09:30PM ET",3000,6.472,0,""
34,"Tyreke Evans","MEM@LAL 11/05/2017 09:30PM ET",5800,29.056,0,""
35,"James Ennis III","MEM@LAL 11/05/2017 09:30PM ET",3900,20.278,0,""
36,"Ben McLemore","MEM@LAL 11/05/2017 09:30PM ET",3500,0,0,""
37,"Chandler Parsons","MEM@LAL 11/05/2017 09:30PM ET",3400,17.406,0,""
38,"Shabazz Muhammad","CHA@MIN 11/05/2017 08:00PM ET",3800,8.167,0,""
39,"Nemanja Bjelica","CHA@MIN 11/05/2017 08:00PM ET",3400,14.833,0,""
40,"Anthony Brown","CHA@MIN 11/05/2017 08:00PM ET",3000,0,0,""
41,"Marcus Georges-Hunt","CHA@MIN 11/05/2017 08:00PM ET",3000,-0.125,0,""
