Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Start,Injury
PG,Kyrie Irving,8500,BOS@ORL 11/05/2017 06:00PM ET,41.194,BOS,1,
PF/C,Al Horford,7200,BOS@ORL 11/05/2017 06:00PM ET,35.472,BOS,1,
SG/SF,Jaylen Brown,5800,BOS@ORL 11/05/2017 06:00PM ET,27.806,BOS,1,
SF/PF,Jayson Tatum,5700,BOS@ORL 11/05/2017 06:00PM ET,27.639,BOS,1,
SG/SF,Marcus Smart,5100,BOS@ORL 11/05/2017 06:00PM ET,25.857,BOS,,
SF/PF,Marcus Morris,4300,BOS@ORL 11/05/2017 06:00PM ET,17,BOS,,
PG/SG,Terry Rozier,3800,BOS@ORL 11/05/2017 06:00PM ET,22.778,BOS,,
C,Aron Baynes,3500,BOS@ORL 11/05/2017 06:00PM ET,16.806,BOS,1,
PF/C,Daniel Theis,3000,BOS@ORL 11/05/2017 06:00PM ET,12.688,BOS,,
PF/C,Guerschon Yabusele,3000,BOS@ORL 11/05/2017 06:00PM ET,5.063,BOS,,
SG/SF,Gordon Hayward,3000,BOS@ORL 11/05/2017 06:00PM ET,3.25,BOS,,2
SG,Jabari Bird,3000,BOS@ORL 11/05/2017 06:00PM ET,2.125,BOS,,
SG,Kadeem Allen,3000,BOS@ORL 11/05/2017 06:00PM ET,0,BOS,,
PF,Abdel Nader,3000,BOS@ORL 11/05/2017 06:00PM ET,5.65,BOS,,
SF/PF,Semi Ojeleye,3000,BOS@ORL 11/05/2017 06:00PM ET,5.719,BOS,,
PG,Shane Larkin,3000,BOS@ORL 11/05/2017 06:00PM ET,7.714,BOS,,
PG,Kemba Walker,7300,CHA@MIN 11/05/2017 08:00PM ET,38.306,CHA,1,
C,Dwight Howard,6800,CHA@MIN 11/05/2017 08:00PM ET,36.944,CHA,1,
SG/SF,Jeremy Lamb,6000,CHA@MIN 11/05/2017 08:00PM ET,32.111,CHA,1,
PF/C,Frank Kaminsky,4500,CHA@MIN 11/05/2017 08:00PM ET,21.938,CHA,,
SF,Michael Kidd-Gilchrist,4200,CHA@MIN 11/05/2017 08:00PM ET,12.1,CHA,,2
PG/SG,Malik Monk,4200,CHA@MIN 11/05/2017 08:00PM ET,15.556,CHA,,
C,Cody Zeller,4000,CHA@MIN 11/05/2017 08:00PM ET,19.35,CHA,,
SG/SF,Nicolas Batum,4000,CHA@MIN 11/05/2017 08:00PM ET,0,CHA,,2
SF/PF,Marvin Williams,3900,CHA@MIN 11/05/2017 08:00PM ET,17.889,CHA,1,
PG,Michael Carter-Williams,3200,CHA@MIN 11/05/2017 08:00PM ET,0,CHA,,
SG/SF,Dwayne Bacon,3000,CHA@MIN 11/05/2017 08:00PM ET,16.444,CHA,1,
PG,Marcus Paige,3000,CHA@MIN 11/05/2017 08:00PM ET,2.5,CHA,,
PF/C,Mangok Mathiang,3000,CHA@MIN 11/05/2017 08:00PM ET,2.5,CHA,,
PF/C,Johnny O'Bryant III,3000,CHA@MIN 11/05/2017 08:00PM ET,12.95,CHA,,
SG/SF,Treveon Graham,3000,CHA@MIN 11/05/2017 08:00PM ET,11.156,CHA,,
PG/SG,Julyan Stone,3000,CHA@MIN 11/05/2017 08:00PM ET,9.625,CHA,,2
PG/SG,James Harden,10100,UTA@HOU 11/05/2017 07:00PM ET,50.7,HOU,1,
PG/SG,Chris Paul,7700,UTA@HOU 11/05/2017 07:00PM ET,36,HOU,,2
C,Clint Capela,6700,UTA@HOU 11/05/2017 07:00PM ET,33.425,HOU,1,
SG,Eric Gordon,6500,UTA@HOU 11/05/2017 07:00PM ET,33.944,HOU,1,
PF/C,Ryan Anderson,4600,UTA@HOU 11/05/2017 07:00PM ET,23.925,HOU,1,
SG/SF,Trevor Ariza,4600,UTA@HOU 11/05/2017 07:00PM ET,22.75,HOU,1,
SF/PF,P.J. Tucker,3800,UTA@HOU 11/05/2017 07:00PM ET,18.125,HOU,,
SF/PF,Luc Richard Mbah a Moute,3700,UTA@HOU 11/05/2017 07:00PM ET,19.725,HOU,,
C,Nene Hilario,3300,UTA@HOU 11/05/2017 07:00PM ET,13.357,HOU,,
PF/C,Tarik Black,3200,UTA@HOU 11/05/2017 07:00PM ET,9.917,HOU,,
PG,Bobby Brown,3200,UTA@HOU 11/05/2017 07:00PM ET,7.4,HOU,,
PF/C,Zhou Qi,3000,UTA@HOU 11/05/2017 07:00PM ET,3.063,HOU,,
SG,Troy Williams,3000,UTA@HOU 11/05/2017 07:00PM ET,3.875,HOU,,
PG,Demetrius Jackson,3000,UTA@HOU 11/05/2017 07:00PM ET,4.214,HOU,,
PG,Briante Weber,3000,UTA@HOU 11/05/2017 07:00PM ET,0,HOU,,
PF/C,Chinanu Onuaku,3000,UTA@HOU 11/05/2017 07:00PM ET,0,HOU,,
PG/SG,Victor Oladipo,8200,IND@NY 11/05/2017 07:30PM ET,39.556,IND,1,
C,Myles Turner,7000,IND@NY 11/05/2017 07:30PM ET,40.625,IND,1,
PF/C,Domantas Sabonis,6400,IND@NY 11/05/2017 07:30PM ET,32.028,IND,,
PG,Darren Collison,6200,IND@NY 11/05/2017 07:30PM ET,29.917,IND,1,
SF/PF,Thaddeus Young,5500,IND@NY 11/05/2017 07:30PM ET,28.444,IND,1,
SG/SF,Bojan Bogdanovic,4600,IND@NY 11/05/2017 07:30PM ET,21.778,IND,1,
SG/SF,Glenn Robinson III,3800,IND@NY 11/05/2017 07:30PM ET,0,IND,,2
PF/C,Al Jefferson,3600,IND@NY 11/05/2017 07:30PM ET,17.75,IND,,
PG,Cory Joseph,3500,IND@NY 11/05/2017 07:30PM ET,19.222,IND,,
SG/SF,Lance Stephenson,3200,IND@NY 11/05/2017 07:30PM ET,14,IND,,
SF/PF,TJ Leaf,3000,IND@NY 11/05/2017 07:30PM ET,10.583,IND,,2
SF,Alex Poythress,3000,IND@NY 11/05/2017 07:30PM ET,2.25,IND,,
PF/C,Ike Anigbogu,3000,IND@NY 11/05/2017 07:30PM ET,2.375,IND,,
PG/SG,Joe Young,3000,IND@NY 11/05/2017 07:30PM ET,4.208,IND,,
PG,Edmond Sumner,3000,IND@NY 11/05/2017 07:30PM ET,0,IND,,2
SG/SF,Damien Wilkins,3000,IND@NY 11/05/2017 07:30PM ET,3.143,IND,,
PG,Lonzo Ball,6200,MEM@LAL 11/05/2017 09:30PM ET,30.25,LAL,1,
SG/SF,Brandon Ingram,6000,MEM@LAL 11/05/2017 09:30PM ET,28.333,LAL,1,
C,Brook Lopez,5800,MEM@LAL 11/05/2017 09:30PM ET,29.333,LAL,1,
SF/PF,Larry Nance Jr.,5700,MEM@LAL 11/05/2017 09:30PM ET,25.25,LAL,,2
SF/PF,Kyle Kuzma,5600,MEM@LAL 11/05/2017 09:30PM ET,26.583,LAL,1,
SG,Kentavious Caldwell-Pope,4900,MEM@LAL 11/05/2017 09:30PM ET,23.536,LAL,1,
PF/C,Julius Randle,4900,MEM@LAL 11/05/2017 09:30PM ET,21.75,LAL,,
PG/SG,Jordan Clarkson,4200,MEM@LAL 11/05/2017 09:30PM ET,22.972,LAL,,
C,Ivica Zubac,3500,MEM@LAL 11/05/2017 09:30PM ET,0.75,LAL,,
SF/PF,Luol Deng,3000,MEM@LAL 11/05/2017 09:30PM ET,5,LAL,,
SG/SF,Corey Brewer,3000,MEM@LAL 11/05/2017 09:30PM ET,6.472,LAL,,
PG/SG,Alex Caruso,3000,MEM@LAL 11/05/2017 09:30PM ET,4.75,LAL,,
PG/SG,Vander Blue,3000,MEM@LAL 11/05/2017 09:30PM ET,0,LAL,,
PF/C,Thomas Bryant,3000,MEM@LAL 11/05/2017 09:30PM ET,0,LAL,,
C,Andrew Bogut,3000,MEM@LAL 11/05/2017 09:30PM ET,6,LAL,,1
PG/SG,Josh Hart,3000,MEM@LAL 11/05/2017 09:30PM ET,9.156,LAL,,
PG/SG,Tyler Ennis,3000,MEM@LAL 11/05/2017 09:30PM ET,4.821,LAL,,
C,Marc Gasol,7900,MEM@LAL 11/05/2017 09:30PM ET,40.472,MEM,1,
PG,Mike Conley,7300,MEM@LAL 11/05/2017 09:30PM ET,29.875,MEM,1,
SG/SF,Tyreke Evans,5800,MEM@LAL 11/05/2017 09:30PM ET,29.056,MEM,,
SF/PF,JaMychal Green,4800,MEM@LAL 11/05/2017 09:30PM ET,4.75,MEM,,2
PG,Mario Chalmers,4000,MEM@LAL 11/05/2017 09:30PM ET,18.944,MEM,,
SG/SF,Dillon Brooks,3900,MEM@LAL 11/05/2017 09:30PM ET,17.556,MEM,,
