"Rank","Player","Matchup","Salary","Prob"
1,"Giannis Antetokounmpo",NA,NA,0.659
2,"Russell Westbrook",NA,NA,0.193
3,"James Harden",NA,NA,0.077
4,"Lonzo Ball",NA,NA,0.049
5,"Darren Collison",NA,NA,0.012
6,"Victor Oladipo",NA,NA,0.005
7,"Ben Simmons",NA,NA,0.003
8,"Kemba Walker",NA,NA,0.001
9,"Damian Lillard",NA,NA,0.001
10,"Kyrie Irving",NA,NA,0
11,"Bobby Brown",NA,NA,0
12,"Dwyane Wade",NA,NA,0
13,"Iman Shumpert",NA,NA,0
14,"Chris Paul",NA,NA,0
15,"Stephen Curry",NA,NA,0
16,"Derrick Rose",NA,NA,0
17,"Shane Larkin",NA,NA,0
18,"Demetrius Jackson",NA,NA,0
19,"Marcus Smart",NA,NA,0
20,"Jose Calderon",NA,NA,0
21,"Terry Rozier",NA,NA,0
22,"Shaun Livingston",NA,NA,0
23,"Isaiah Thomas",NA,NA,0
24,"Frank Mason III",NA,NA,0
25,"Seth Curry",NA,NA,0
26,"Dejounte Murray",NA,NA,0
27,"Jrue Holiday",NA,NA,0
28,"Tim Frazier",NA,NA,0
29,"Nate Wolters",NA,NA,0
30,"Derrick White",NA,NA,0
31,"Derrick Walton Jr.",NA,NA,0
32,"Tomas Satoransky",NA,NA,0
33,"DeAndre Liggins",NA,NA,0
34,"Shelvin Mack",NA,NA,0
35,"Gian Clavell",NA,NA,0
36,"John Wall",NA,NA,0
37,"Chris Paul",NA,NA,0
38,"Avery Bradley",NA,NA,0
39,"George Hill",NA,NA,0
40,"Rajon Rondo",NA,NA,0
41,"Dwight Buycks",NA,NA,0
42,"De'Aaron Fox",NA,NA,0
43,"Tyler Johnson",NA,NA,0
44,"Spencer Dinwiddie",NA,NA,0
45,"Elfrid Payton",NA,NA,0
46,"Cory Joseph",NA,NA,0
47,"Donovan Mitchell",NA,NA,0
48,"Nik Stauskas",NA,NA,0
49,"Sean Kilpatrick",NA,NA,0
50,"Bryn Forbes",NA,NA,0
51,"Jordan Crawford",NA,NA,0
52,"Goran Dragic",NA,NA,0
53,"Langston Galloway",NA,NA,0
54,"Raul Neto",NA,NA,0
55,"Brandon Paul",NA,NA,0
56,"Jacob Wiley",NA,NA,0
57,"Jason Terry",NA,NA,0
58,"Marcus Smart",NA,NA,0
59,"Emmanuel Mudiay",NA,NA,0
60,"Mario Chalmers",NA,NA,0
61,"Jamal Murray",NA,NA,0
62,"Dennis Schroder",NA,NA,0
63,"Michael Carter-Williams",NA,NA,0
64,"Tony Parker",NA,NA,0
65,"D.J. Augustin",NA,NA,0
66,"Reggie Jackson",NA,NA,0
67,"Garrett Temple",NA,NA,0
68,"Aaron Brooks",NA,NA,0
69,"Markelle Fultz",NA,NA,0
70,"Tyler Ulis",NA,NA,0
71,"Malcolm Brogdon",NA,NA,0
72,"Edmond Sumner",NA,NA,0
73,"Jacob Pullen",NA,NA,0
74,"D'Angelo Russell",NA,NA,0
75,"Mike Conley",NA,NA,0
76,"Patty Mills",NA,NA,0
77,"Ricky Rubio",NA,NA,0
78,"Marcus Paige",NA,NA,0
79,"Frank Jackson",NA,NA,0
80,"Jerryd Bayless",NA,NA,0
81,"Tyus Jones",NA,NA,0
82,"Caris LeVert",NA,NA,0
83,"Alec Burks",NA,NA,0
84,"T.J. McConnell",NA,NA,0
85,"Andrew Harrison",NA,NA,0
86,"Ian Clark",NA,NA,0
87,"Malik Monk",NA,NA,0
88,"Josh Magette",NA,NA,0
89,"Rashad Vaughn",NA,NA,0
90,"Malik Beasley",NA,NA,0
91,"Mike James",NA,NA,0
92,"Jose Barea",NA,NA,0
93,"Malcolm Delaney",NA,NA,0
94,"Dante Exum",NA,NA,0
95,"Shabazz Napier",NA,NA,0
96,"Tyler Dorsey",NA,NA,0
97,"Devin Harris",NA,NA,0
98,"Yogi Ferrell",NA,NA,0
99,"Ishmael Smith",NA,NA,0
100,"Monte Morris",NA,NA,0
101,"Eric Bledsoe",NA,NA,0
102,"Matthew Dellavedova",NA,NA,0
103,"Kobi Simmons",NA,NA,0
104,"Dennis Smith Jr.",NA,NA,0
105,"Jeff Teague",NA,NA,0
106,"Brandon Knight",NA,NA,0
