"Rank","Player","Matchup","Salary","Prob"
1,"Aaron Rodgers","CIN@GB 04:25PM ET",7300,0.1753
2,"Drew Brees","NO@CAR 01:00PM ET",7200,0.1615
3,"Matt Ryan","ATL@DET 01:00PM ET",7100,0.1054
4,"Ben Roethlisberger","PIT@CHI 01:00PM ET",6200,0.0897
5,"Tom Brady","HOU@NE 01:00PM ET",7700,0.0866
6,"Derek Carr","OAK@WAS 08:30PM ET",6800,0.0637
7,"Russell Wilson","SEA@TEN 04:05PM ET",6300,0.057
8,"Marcus Mariota","SEA@TEN 04:05PM ET",6000,0.0464
9,"Kirk Cousins","OAK@WAS 08:30PM ET",6100,0.0418
10,"Trevor Siemian","DEN@BUF 01:00PM ET",5500,0.0296
11,"Case Keenum","TB@MIN 01:00PM ET",4500,0.0296
12,"Tyrod Taylor","DEN@BUF 01:00PM ET",4900,0.0291
13,"Matthew Stafford","ATL@DET 01:00PM ET",6200,0.023
14,"Alex Smith","KC@LAC 04:25PM ET",5900,0.0184
15,"Philip Rivers","KC@LAC 04:25PM ET",6400,0.0108
16,"Jameis Winston","TB@MIN 01:00PM ET",6000,0.01
17,"Josh McCown","MIA@NYJ 01:00PM ET",4500,0.0076
18,"Eli Manning","NYG@PHI 01:00PM ET",5300,0.005
19,"Jimmy Garoppolo","HOU@NE 01:00PM ET",5600,0.0028
20,"Matt Moore","MIA@NYJ 01:00PM ET",4500,0.002
21,"Andy Dalton","CIN@GB 04:25PM ET",5100,0.0016
22,"Cody Kessler","CLE@IND 01:00PM ET",4000,0.0016
23,"Ryan Fitzpatrick","TB@MIN 01:00PM ET",4400,5e-04
24,"Carson Wentz","NYG@PHI 01:00PM ET",5900,4e-04
25,"Nick Foles","NYG@PHI 01:00PM ET",4300,3e-04
26,"Kevin Hogan","CLE@IND 01:00PM ET",4600,2e-04
27,"Landry Jones","PIT@CHI 01:00PM ET",4500,1e-04
28,"Jay Cutler","MIA@NYJ 01:00PM ET",6100,0
29,"Derek Anderson","NO@CAR 01:00PM ET",5400,0
30,"DeShone Kizer","CLE@IND 01:00PM ET",5000,0
31,"Jacoby Brissett","CLE@IND 01:00PM ET",4800,0
32,"Mike Glennon","PIT@CHI 01:00PM ET",4700,0
33,"Deshaun Watson","HOU@NE 01:00PM ET",4700,0
34,"AJ McCarron","CIN@GB 04:25PM ET",4700,0
35,"Patrick Mahomes II","KC@LAC 04:25PM ET",4700,0
36,"Colt McCoy","OAK@WAS 08:30PM ET",4700,0
37,"Chase Daniel","NO@CAR 01:00PM ET",4600,0
38,"Mitchell Trubisky","PIT@CHI 01:00PM ET",4500,0
39,"Geno Smith","NYG@PHI 01:00PM ET",4500,0
40,"Cardale Jones","KC@LAC 04:25PM ET",4500,0
41,"Tom Savage","HOU@NE 01:00PM ET",4400,0
42,"Matt Schaub","ATL@DET 01:00PM ET",4300,0
43,"Scott Tolzien","CLE@IND 01:00PM ET",4300,0
44,"Matt Cassel","SEA@TEN 04:05PM ET",4300,0
45,"Austin Davis","SEA@TEN 04:05PM ET",4300,0
46,"Connor Cook","OAK@WAS 08:30PM ET",4300,0
47,"Brock Osweiler","DEN@BUF 01:00PM ET",4200,0
48,"Jake Rudock","ATL@DET 01:00PM ET",4200,0
49,"Brett Hundley","CIN@GB 04:25PM ET",4200,0
50,"Christian Hackenberg","MIA@NYJ 01:00PM ET",4100,0
51,"Joe Webb","DEN@BUF 01:00PM ET",4000,0
52,"Nathan Peterman","DEN@BUF 01:00PM ET",4000,0
53,"Taysom Hill","NO@CAR 01:00PM ET",4000,0
54,"Brad Kaaya","NO@CAR 01:00PM ET",4000,0
55,"Mark Sanchez","PIT@CHI 01:00PM ET",4000,0
56,"Joshua Dobbs","PIT@CHI 01:00PM ET",4000,0
57,"Kyle Sloter","TB@MIN 01:00PM ET",4000,0
58,"Bryce Petty","MIA@NYJ 01:00PM ET",4000,0
59,"Davis Webb","NYG@PHI 01:00PM ET",4000,0
60,"Tyler Bray","KC@LAC 04:25PM ET",4000,0
61,"Kellen Clemens","KC@LAC 04:25PM ET",4000,0
62,"EJ Manuel","OAK@WAS 08:30PM ET",4000,0
