"Rank","Player","Matchup","Salary","Prob"
1,"Melvin Gordon","LAC@NE 10/29/2017 01:00PM ET",8100,0.2284
2,"Ezekiel Elliott","DAL@WAS 10/29/2017 04:25PM ET",9200,0.1205
3,"Mark Ingram","CHI@NO 10/29/2017 01:00PM ET",7400,0.1091
4,"LeSean McCoy","OAK@BUF 10/29/2017 01:00PM ET",8700,0.1062
5,"Jordan Howard","CHI@NO 10/29/2017 01:00PM ET",6800,0.0854
6,"Devonta Freeman","ATL@NYJ 10/29/2017 01:00PM ET",7200,0.0797
7,"Bilal Powell","ATL@NYJ 10/29/2017 01:00PM ET",4800,0.043
8,"Rob Kelley","DAL@WAS 10/29/2017 04:25PM ET",4100,0.0354
9,"Matt Forte","ATL@NYJ 10/29/2017 01:00PM ET",4200,0.0344
10,"Chris Thompson","DAL@WAS 10/29/2017 04:25PM ET",5800,0.0318
11,"Rex Burkhead","LAC@NE 10/29/2017 01:00PM ET",3600,0.0228
12,"Jeremy Hill","IND@CIN 10/29/2017 01:00PM ET",3300,0.0157
13,"LeGarrette Blount","SF@PHI 10/29/2017 01:00PM ET",5100,0.0149
14,"Thomas Rawls","HOU@SEA 10/29/2017 04:05PM ET",3600,0.0119
15,"Carlos Hyde","SF@PHI 10/29/2017 01:00PM ET",6000,0.0111
16,"Christian McCaffrey","CAR@TB 10/29/2017 01:00PM ET",6200,0.0106
17,"Lamar Miller","HOU@SEA 10/29/2017 04:05PM ET",5200,0.0105
18,"Alvin Kamara","CHI@NO 10/29/2017 01:00PM ET",5900,0.01
19,"Tarik Cohen","CHI@NO 10/29/2017 01:00PM ET",4600,0.0072
20,"Jonathan Stewart","CAR@TB 10/29/2017 01:00PM ET",3600,0.0032
21,"DeAndre Washington","OAK@BUF 10/29/2017 01:00PM ET",4100,0.0025
22,"Jacquizz Rodgers","CAR@TB 10/29/2017 01:00PM ET",4000,0.0015
23,"Marlon Mack","IND@CIN 10/29/2017 01:00PM ET",4000,0.0011
24,"Mike Gillislee","LAC@NE 10/29/2017 01:00PM ET",4200,0.001
25,"Tevin Coleman","ATL@NYJ 10/29/2017 01:00PM ET",5000,8e-04
26,"Elijah McGuire","ATL@NYJ 10/29/2017 01:00PM ET",4000,6e-04
27,"Frank Gore","IND@CIN 10/29/2017 01:00PM ET",4000,4e-04
28,"Jalen Richard","OAK@BUF 10/29/2017 01:00PM ET",4300,2e-04
29,"James White","LAC@NE 10/29/2017 01:00PM ET",4900,1e-04
30,"Darren McFadden","DAL@WAS 10/29/2017 04:25PM ET",5600,0
31,"Alfred Morris","DAL@WAS 10/29/2017 04:25PM ET",5500,0
32,"Doug Martin","CAR@TB 10/29/2017 01:00PM ET",5400,0
33,"Wendell Smallwood","SF@PHI 10/29/2017 01:00PM ET",4900,0
34,"Joe Mixon","IND@CIN 10/29/2017 01:00PM ET",4700,0
35,"Dion Lewis","LAC@NE 10/29/2017 01:00PM ET",4600,0
36,"Matt Breida","SF@PHI 10/29/2017 01:00PM ET",4200,0
37,"Samaje Perine","DAL@WAS 10/29/2017 04:25PM ET",4200,0
38,"D'Onta Foreman","HOU@SEA 10/29/2017 04:05PM ET",4000,0
39,"Branden Oliver","LAC@NE 10/29/2017 01:00PM ET",3900,0
40,"Corey Clement","SF@PHI 10/29/2017 01:00PM ET",3900,0
41,"Mike Tolbert","OAK@BUF 10/29/2017 01:00PM ET",3800,0
42,"Giovani Bernard","IND@CIN 10/29/2017 01:00PM ET",3700,0
43,"Alfred Blue","HOU@SEA 10/29/2017 04:05PM ET",3700,0
44,"Kenjon Barner","SF@PHI 10/29/2017 01:00PM ET",3600,0
45,"Austin Ekeler","LAC@NE 10/29/2017 01:00PM ET",3500,0
46,"Eddie Lacy","HOU@SEA 10/29/2017 04:05PM ET",3500,0
47,"Mack Brown","DAL@WAS 10/29/2017 04:25PM ET",3500,0
48,"Charles Sims","CAR@TB 10/29/2017 01:00PM ET",3400,0
49,"J.D. McKissic","HOU@SEA 10/29/2017 04:05PM ET",3300,0
50,"Rod Smith","DAL@WAS 10/29/2017 04:25PM ET",3200,0
51,"Taiwan Jones","OAK@BUF 10/29/2017 01:00PM ET",3000,0
52,"Patrick DiMarco","OAK@BUF 10/29/2017 01:00PM ET",3000,0
53,"Jamize Olawale","OAK@BUF 10/29/2017 01:00PM ET",3000,0
54,"Tra Carson","IND@CIN 10/29/2017 01:00PM ET",3000,0
55,"Matt Jones","IND@CIN 10/29/2017 01:00PM ET",3000,0
56,"George Winn","IND@CIN 10/29/2017 01:00PM ET",3000,0
57,"Josh Ferguson","IND@CIN 10/29/2017 01:00PM ET",3000,0
58,"Brandon Bolden","LAC@NE 10/29/2017 01:00PM ET",3000,0
59,"James Develin","LAC@NE 10/29/2017 01:00PM ET",3000,0
60,"Andre Williams","LAC@NE 10/29/2017 01:00PM ET",3000,0
61,"Derek Watt","LAC@NE 10/29/2017 01:00PM ET",3000,0
62,"Taquan Mizzell","CHI@NO 10/29/2017 01:00PM ET",3000,0
63,"Michael Burton","CHI@NO 10/29/2017 01:00PM ET",3000,0
64,"Benny Cunningham","CHI@NO 10/29/2017 01:00PM ET",3000,0
65,"Trey Edmunds","CHI@NO 10/29/2017 01:00PM ET",3000,0
66,"Zach Line","CHI@NO 10/29/2017 01:00PM ET",3000,0
67,"Daniel Lasco II","CHI@NO 10/29/2017 01:00PM ET",3000,0
68,"Terron Ward","ATL@NYJ 10/29/2017 01:00PM ET",3000,0
69,"Derrick Coleman","ATL@NYJ 10/29/2017 01:00PM ET",3000,0
70,"Travaris Cadet","ATL@NYJ 10/29/2017 01:00PM ET",3000,0
71,"Lawrence Thomas","ATL@NYJ 10/29/2017 01:00PM ET",3000,0
72,"Kyle Juszczyk","SF@PHI 10/29/2017 01:00PM ET",3000,0
73,"Raheem Mostert","SF@PHI 10/29/2017 01:00PM ET",3000,0
74,"Peyton Barber","CAR@TB 10/29/2017 01:00PM ET",3000,0
75,"Fozzy Whittaker","CAR@TB 10/29/2017 01:00PM ET",3000,0
76,"Alex Armah","CAR@TB 10/29/2017 01:00PM ET",3000,0
77,"Cameron Artis-Payne","CAR@TB 10/29/2017 01:00PM ET",3000,0
78,"Jay Prosch","HOU@SEA 10/29/2017 04:05PM ET",3000,0
79,"Jordan Todman","HOU@SEA 10/29/2017 04:05PM ET",3000,0
80,"Tre Madden","HOU@SEA 10/29/2017 04:05PM ET",3000,0
81,"Keith Smith","DAL@WAS 10/29/2017 04:25PM ET",3000,0
