"Rank","Player","Matchup","Salary","Prob"
1,"Rob Gronkowski","NE@NYJ 01:00PM ET",6800,0.2295
2,"Jordan Reed","SF@WAS 01:00PM ET",5000,0.1727
3,"Travis Kelce","PIT@KC 04:25PM ET",6100,0.1686
4,"Kyle Rudolph","GB@MIN 01:00PM ET",3800,0.0618
5,"Martellus Bennett","GB@MIN 01:00PM ET",3600,0.056
6,"Marcedes Lewis","LAR@JAX 04:05PM ET",2700,0.0495
7,"Dwayne Allen","NE@NYJ 01:00PM ET",2700,0.0474
8,"Jared Cook","LAC@OAK 04:25PM ET",3700,0.0389
9,"Cameron Brate","TB@ARI 04:05PM ET",3900,0.0288
10,"Antonio Gates","LAC@OAK 04:25PM ET",3000,0.0283
11,"Hunter Henry","LAC@OAK 04:25PM ET",4100,0.0212
12,"Coby Fleener","DET@NO 01:00PM ET",3200,0.0201
13,"Austin Hooper","MIA@ATL 01:00PM ET",3500,0.0181
14,"Jesse James","PIT@KC 04:25PM ET",3100,0.0119
15,"Eric Ebron","DET@NO 01:00PM ET",3000,0.0114
16,"Vernon Davis","SF@WAS 01:00PM ET",3900,0.0071
17,"Vance McDonald","PIT@KC 04:25PM ET",2600,0.0063
18,"Dion Sims","CHI@BAL 01:00PM ET",2500,0.0062
19,"Lance Kendricks","GB@MIN 01:00PM ET",2500,0.0048
20,"Ryan Griffin","TB@ARI 04:05PM ET",4000,0.0047
21,"Zach Miller","CHI@BAL 01:00PM ET",2900,0.0033
22,"Julius Thomas","MIA@ATL 01:00PM ET",2800,0.0016
23,"Levine Toilolo","MIA@ATL 01:00PM ET",2500,5e-04
24,"Josh Hill","DET@NO 01:00PM ET",2500,5e-04
25,"Demetrius Harris","PIT@KC 04:25PM ET",2800,4e-04
26,"Jermaine Gresham","TB@ARI 04:05PM ET",2600,3e-04
27,"Clive Walford","LAC@OAK 04:25PM ET",2500,1e-04
28,"Austin Seferian-Jenkins","NE@NYJ 01:00PM ET",4300,0
29,"George Kittle","SF@WAS 01:00PM ET",3400,0
30,"Benjamin Watson","CHI@BAL 01:00PM ET",3300,0
31,"David Njoku","CLE@HOU 01:00PM ET",3000,0
32,"Stephen Anderson","CLE@HOU 01:00PM ET",2800,0
33,"Richard Rodgers","GB@MIN 01:00PM ET",2600,0
34,"O.J. Howard","TB@ARI 04:05PM ET",2600,0
35,"Eric Saubert","MIA@ATL 01:00PM ET",2500,0
36,"MarQueis Gray","MIA@ATL 01:00PM ET",2500,0
37,"Anthony Fasano","MIA@ATL 01:00PM ET",2500,0
38,"Andrew DePaola","CHI@BAL 01:00PM ET",2500,0
39,"Adam Shaheen","CHI@BAL 01:00PM ET",2500,0
40,"Daniel Brown","CHI@BAL 01:00PM ET",2500,0
41,"Nick Boyle","CHI@BAL 01:00PM ET",2500,0
42,"Vince Mayle","CHI@BAL 01:00PM ET",2500,0
43,"Maxx Williams","CHI@BAL 01:00PM ET",2500,0
44,"Seth DeValve","CLE@HOU 01:00PM ET",2500,0
45,"Randall Telfer","CLE@HOU 01:00PM ET",2500,0
46,"Blake Bell","GB@MIN 01:00PM ET",2500,0
47,"David Morgan","GB@MIN 01:00PM ET",2500,0
48,"Kevin McDermott","GB@MIN 01:00PM ET",2500,0
49,"Michael Roberts","DET@NO 01:00PM ET",2500,0
50,"Darren Fells","DET@NO 01:00PM ET",2500,0
51,"Michael Hoomanawanui","DET@NO 01:00PM ET",2500,0
52,"Jacob Hollister","NE@NYJ 01:00PM ET",2500,0
53,"Eric Tomlinson","NE@NYJ 01:00PM ET",2500,0
54,"Jordan Leggett","NE@NYJ 01:00PM ET",2500,0
55,"Logan Paulsen","SF@WAS 01:00PM ET",2500,0
56,"Kyle Nelson","SF@WAS 01:00PM ET",2500,0
57,"Garrett Celek","SF@WAS 01:00PM ET",2500,0
58,"Niles Paul","SF@WAS 01:00PM ET",2500,0
59,"Jeremy Sprinkle","SF@WAS 01:00PM ET",2500,0
60,"Troy Niklas","TB@ARI 04:05PM ET",2500,0
61,"Ricky Seals-Jones","TB@ARI 04:05PM ET",2500,0
62,"Ifeanyi Momah","TB@ARI 04:05PM ET",2500,0
63,"Luke Stocker","TB@ARI 04:05PM ET",2500,0
64,"Antony Auclair","TB@ARI 04:05PM ET",2500,0
65,"Gerald Everett","LAR@JAX 04:05PM ET",2500,0
66,"Derek Carrier","LAR@JAX 04:05PM ET",2500,0
67,"Tyler Higbee","LAR@JAX 04:05PM ET",2500,0
68,"James O'Shaughnessy","LAR@JAX 04:05PM ET",2500,0
69,"Ben Koyack","LAR@JAX 04:05PM ET",2500,0
70,"James Winchester","PIT@KC 04:25PM ET",2500,0
71,"Ross Travis","PIT@KC 04:25PM ET",2500,0
72,"Xavier Grimble","PIT@KC 04:25PM ET",2500,0
73,"Lee Smith","LAC@OAK 04:25PM ET",2500,0
74,"Sean Culkin","LAC@OAK 04:25PM ET",2500,0
75,"Sean McGrath","LAC@OAK 04:25PM ET",2500,0
