"Rank","Player","Matchup","Salary","Prob"
1,"Stefon Diggs","LAR@MIN 11/19/2017 01:00PM ET",6700,0.1145
2,"Jordy Nelson","BAL@GB 11/19/2017 01:00PM ET",4700,0.0959
3,"A.J. Green","CIN@DEN 11/19/2017 04:25PM ET",7000,0.0951
4,"Mike Evans","TB@MIA 11/19/2017 01:00PM ET",7900,0.0846
5,"Brandin Cooks","NE@OAK 11/19/2017 04:25PM ET",6600,0.0796
6,"Adam Thielen","LAR@MIN 11/19/2017 01:00PM ET",7200,0.0745
7,"Michael Thomas","WAS@NO 11/19/2017 01:00PM ET",7400,0.0703
8,"Larry Fitzgerald","ARI@HOU 11/19/2017 01:00PM ET",6900,0.0643
9,"Sammy Watkins","LAR@MIN 11/19/2017 01:00PM ET",4400,0.0421
10,"Chris Thompson","WAS@NO 11/19/2017 01:00PM ET",5400,0.0364
11,"Golden Tate","DET@CHI 11/19/2017 01:00PM ET",6800,0.0351
12,"Davante Adams","BAL@GB 11/19/2017 01:00PM ET",5300,0.0313
13,"Tyreek Hill","KC@NYG 11/19/2017 01:00PM ET",7100,0.0312
14,"Michael Crabtree","NE@OAK 11/19/2017 04:25PM ET",5900,0.0243
15,"Emmanuel Sanders","CIN@DEN 11/19/2017 04:25PM ET",5200,0.0225
16,"DeAndre Hopkins","ARI@HOU 11/19/2017 01:00PM ET",6100,0.0181
17,"Sterling Shepard","KC@NYG 11/19/2017 01:00PM ET",6300,0.0115
18,"Robert Woods","LAR@MIN 11/19/2017 01:00PM ET",6000,0.0111
19,"Tyrell Williams","BUF@LAC 11/19/2017 04:05PM ET",3600,0.0101
20,"J.J. Nelson","ARI@HOU 11/19/2017 01:00PM ET",3700,0.0095
21,"Dontrelle Inman","DET@CHI 11/19/2017 01:00PM ET",3200,0.0073
22,"DeSean Jackson","TB@MIA 11/19/2017 01:00PM ET",5100,0.0063
23,"Keenan Allen","BUF@LAC 11/19/2017 04:05PM ET",5900,0.0044
24,"Ted Ginn Jr.","WAS@NO 11/19/2017 01:00PM ET",4800,0.0044
25,"DeVante Parker","TB@MIA 11/19/2017 01:00PM ET",6500,0.0028
26,"Demaryius Thomas","CIN@DEN 11/19/2017 04:25PM ET",5800,0.002
27,"Jarvis Landry","TB@MIA 11/19/2017 01:00PM ET",6400,0.0018
