Away Team,Away Team Score,Away Team Implied Score,Home Team,Home Team Score,Home Team Implied Score,Spread (Relative to Home Team),Actual Spread (Relative to Home Team),Vegas Over/Under,Actual Total Points,Date,Information
Kansas City Chiefs,42,20.5,New England Patriots,27,27.5,-7,15,48,69,09-07-2017,"NFL REGULAR SEASON WEEK 1 - Thursday, September 7th"
New York Jets,12,18.5,Buffalo Bills,21,24.5,-6,-9,43,33,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
Atlanta Falcons,23,21.75,Chicago Bears,17,28.75,7,6,50.5,40,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
Jacksonville Jaguars,29,18.75,Houston Texans,7,23.25,-4.5,22,42,36,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
Philadelphia Eagles,30,22.75,Washington Redskins,17,25.75,-3,13,48.5,47,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
Arizona Cardinals,23,22.75,Detroit Lions,35,25.25,-2.5,-12,48,58,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
Oakland Raiders,26,25,Tennessee Titans,16,26.5,1.5,10,51.5,42,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
Tampa Bay Buccaneers,N/A,22,Miami Dolphins,N/A,25,-3,N/A,47,N/A,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
Baltimore Ravens,20,20.25,Cincinnati Bengals,0,22.25,-2,20,42.5,20,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
Pittsburgh Steelers,21,19,Cleveland Browns,18,28.5,9.5,3,47.5,39,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
Indianapolis Colts,9,22,Los Angeles Rams,46,25,3,-37,47,55,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
Seattle Seahawks,9,23,Green Bay Packers,17,26,-3,-8,49,26,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
Carolina Panthers,23,22.25,San Francisco 49ers,3,25.75,3.5,20,48,26,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
New York Giants,3,21.25,Dallas Cowboys,19,27.75,-6.5,-16,49,22,09-10-2017,"NFL REGULAR SEASON WEEK 1 - Sunday, September 10th"
