Week,Year,GID,First Name,Last Name,Pos,Team,h/a,Oppt,DK points,DK salary
1,2017,1254, Alex,Smith,QB,kan,a,nwe,34.02,5400
1,2017,1344, Sam,Bradford,QB,min,h,nor,28.54,5900
1,2017,1340, Matthew,Stafford,QB,det,h,ari,28.08,6100
1,2017,1514, Carson,Wentz,QB,phi,a,was,23.88,5300
1,2017,1488, Trevor,Siemian,QB,den,h,lac,23.66,5000
1,2017,1301, Matt,Ryan,QB,atl,a,chi,20.94,6900
1,2017,1252, Aaron,Rodgers,QB,gnb,h,sea,20.54,7000
1,2017,1400, Tyrod,Taylor,QB,buf,h,nyj,19.76,6200
1,2017,1517, DeShone,Kizer,QB,cle,h,pit,19.58,4800
1,2017,1490, Jared,Goff,QB,lar,h,ind,19.44,4800
1,2017,1466, Marcus,Mariota,QB,ten,h,oak,18.84,6800
1,2017,1441, Derek,Carr,QB,oak,a,ten,18.68,6700
1,2017,1231, Philip,Rivers,QB,lac,a,den,18.68,5800
1,2017,1501, Dak,Prescott,QB,dal,h,nyg,17.12,6300
1,2017,1232, Ben,Roethlisberger,QB,pit,a,cle,16.72,7300
1,2017,1151, Drew,Brees,QB,nor,a,min,15.64,7200
1,2017,1378, Cam,Newton,QB,car,a,sfo,14.14,7100
1,2017,1415, Kirk,Cousins,QB,was,h,phi,13.6,6400
1,2017,1420, Mike,Glennon,QB,chi,h,atl,12.52,4900
1,2017,1207, Carson,Palmer,QB,ari,a,det,11.96,6000
1,2017,1175, Josh,McCown,QB,nyj,a,buf,11.48,4600
1,2017,1131, Tom,Brady,QB,nwe,h,kan,10.68,7600
1,2017,1442, Blake,Bortles,QB,jac,a,hou,10.3,4800
1,2017,1412, Russell,Wilson,QB,sea,a,gnb,9.32,6900
1,2017,1302, Joe,Flacco,QB,bal,a,cin,7.84,5500
1,2017,1225, Eli,Manning,QB,nyg,a,dal,7.7,5600
1,2017,1518, Deshaun,Watson,QB,hou,h,jac,7.68,4800
1,2017,1336, Brian,Hoyer,QB,sfo,h,car,5.22,5100
1,2017,1433, Scott,Tolzien,QB,ind,a,lar,3.32,4500
1,2017,1496, Jacoby,Brissett,QB,ind,a,lar,2.04,4000
1,2017,1403, Andy,Dalton,QB,cin,h,bal,2,5700
1,2017,1443, Tom,Savage,QB,hou,h,jac,0.48,4800
1,2017,1503, Jake,Rudock,QB,det,h,ari,0,4000
1,2017,1234, Matt,Schaub,QB,atl,a,chi,0,4500
1,2017,5071, Joe,Webb,QB,buf,h,nyj,0,4000
1,2017,1519, Mitchell,Trubisky,QB,chi,h,atl,0,4600
1,2017,1484, Sean,Mannion,QB,lar,h,ind,-0.22,4300
1,2017,5560, Kareem,Hunt,RB,kan,a,nwe,49.6,5800
1,2017,5564, Tarik,Cohen,RB,chi,h,atl,25.3,3000
1,2017,5534, Leonard,Fournette,RB,jac,a,hou,24.4,5700
1,2017,2707, LeSean,McCoy,RB,buf,h,nyj,23.9,8200
1,2017,2894, Mike,Gillislee,RB,nwe,h,kan,22.5,4800
1,2017,5444, Ezekiel,Elliott,RB,dal,h,nyg,22,8100
1,2017,2992, Todd,Gurley,RB,lar,h,ind,20.6,6000
1,2017,5559, Dalvin,Cook,RB,min,h,nor,19.7,5900
1,2017,5392, Ty,Montgomery,RB,gnb,h,sea,19.3,5800
1,2017,2991, Melvin,Gordon,RB,lac,a,den,18.9,6600
1,2017,2612, Jonathan,Stewart,RB,car,a,sfo,16.2,5000
1,2017,2915, Chris,Thompson,RB,was,h,phi,15.6,3700
1,2017,5447, Jordan,Howard,RB,chi,h,atl,15.6,6300
1,2017,2907, Theo,Riddick,RB,det,h,ari,14.6,4700
1,2017,2830, Shane,Vereen,RB,nyg,a,dal,14.1,3800
1,2017,5395, David,Johnson,RB,ari,a,det,14.1,9400
1,2017,2929, Terrance,West,RB,bal,a,cin,14,4700
1,2017,2933, Carlos,Hyde,RB,sfo,h,car,13.7,4600
1,2017,5536, Christian,McCaffrey,RB,car,a,sfo,12.5,5400
1,2017,2647, Mike,Tolbert,RB,buf,h,nyj,12.4,3000
1,2017,2793, Mark,Ingram,RB,nor,a,min,12.1,4800
1,2017,2930, Devonta,Freeman,RB,atl,a,chi,11.9,7000
1,2017,2721, LeGarrette,Blount,RB,phi,a,was,11.7,4500
1,2017,2859, Lamar,Miller,RB,hou,h,jac,11.6,5100
1,2017,5548, Marlon,Mack,RB,ind,a,lar,11.5,3400
1,2017,2969, Isaiah,Crowell,RB,cle,h,pit,10.6,5300
1,2017,2552, Marshawn,Lynch,RB,oak,a,ten,10.2,5300
1,2017,2954, James,White,RB,nwe,h,kan,9.8,3900
1,2017,2994, Tevin,Coleman,RB,atl,a,chi,9.8,5400
1,2017,2924, C.J.,Anderson,RB,den,h,lac,9.8,4600
1,2017,2987, Charcandrick,West,RB,kan,a,nwe,9.5,4000
1,2017,2484, Darren,Sproles,RB,phi,a,was,9.5,3900
1,2017,2819, Bilal,Powell,RB,nyj,a,buf,8.9,4900
1,2017,2889, Giovani,Bernard,RB,cin,h,bal,8.9,4500
1,2017,2918, Kerwynn,Williams,RB,ari,a,det,8.2,3800
1,2017,2831, DeMarco,Murray,RB,ten,h,oak,8,7400
1,2017,5562, Alvin,Kamara,RB,nor,a,min,7.8,3500
1,2017,2888, Le'Veon,Bell,RB,pit,a,cle,7.7,9800
1,2017,5441, Malcolm,Brown,RB,lar,h,ind,7.6,3900
1,2017,2995, Ameer,Abdullah,RB,det,h,ari,7.1,4300
1,2017,2910, Tommy,Bohanon,RB,jac,a,hou,7.1,3000
1,2017,5370, Javorius,Allen,RB,bal,a,cin,7.1,3000
1,2017,2689, Danny,Woodhead,RB,bal,a,cin,6.7,5200
1,2017,2935, Jerick,McKinnon,RB,min,h,nor,6.7,3200
1,2017,2613, Matt,Forte,RB,nyj,a,buf,6.6,4800
1,2017,5470, Tyler,Ervin,RB,hou,h,jac,6.6,3000
1,2017,2741, Chris,Ivory,RB,jac,a,hou,6.3,3600
1,2017,2467, Frank,Gore,RB,ind,a,lar,6.2,4300
1,2017,5565, Chris,Carson,RB,sea,a,gnb,5.9,0
1,2017,2892, Andre,Ellington,RB,ari,a,det,5.5,3400
1,2017,5535, Joe,Mixon,RB,cin,h,bal,5.4,5500
1,2017,5472, Paul,Perkins,RB,nyg,a,dal,4.5,4300
1,2017,5449, DeAndre,Washington,RB,oak,a,ten,4.2,4100
1,2017,2997, Duke,Johnson,RB,cle,h,pit,4,4600
1,2017,5490, Jalen,Richard,RB,oak,a,ten,3.8,3900
1,2017,5575, Austin,Ekeler,RB,lac,a,den,3.8,3000
1,2017,2908, Kyle,Juszczyk,RB,sfo,h,car,3.7,3000
1,2017,5566, Matthew,Dayes,RB,cle,h,pit,3.6,3000
1,2017,2928, Jeremy,Hill,RB,cin,h,bal,3.4,4400
1,2017,2890, Rex,Burkhead,RB,nwe,h,kan,3.3,4400
1,2017,2629, Jamaal,Charles,RB,den,h,lac,3,4200
1,2017,5493, Rob,Kelley,RB,was,h,phi,3,4300
1,2017,5445, Derrick,Henry,RB,ten,h,oak,2.5,5500
1,2017,2976, Orleans,Darkwa,RB,nyg,a,dal,2.3,3100
1,2017,5483, Dwayne,Washington,RB,det,h,ari,2.2,3300
1,2017,5473, Wendell,Smallwood,RB,phi,a,was,1.9,3800
1,2017,2553, Adrian,Peterson,RB,nor,a,min,1.8,4500
1,2017,2805, Patrick,DiMarco,RB,buf,h,nyj,1.5,3000
1,2017,2867, Robert,Turbin,RB,ind,a,lar,1.3,4000
1,2017,5567, Matt,Breida,RB,sfo,h,car,1.1,3000
1,2017,5537, James,Conner,RB,pit,a,cle,1.1,4500
1,2017,5448, C.J.,Prosise,RB,sea,a,gnb,1.1,4100
1,2017,2982, Branden,Oliver,RB,lac,a,den,1,4000
1,2017,5541, Jamaal,Williams,RB,gnb,h,sea,0.9,3900
1,2017,2816, Dion,Lewis,RB,nwe,h,kan,0.9,3800
1,2017,5415, Michael,Burton,RB,chi,h,atl,0.7,3000
1,2017,2899, Latavius,Murray,RB,min,h,nor,0.6,4200
1,2017,5539, D'Onta,Foreman,RB,hou,h,jac,0.4,4100
1,2017,2896, Eddie,Lacy,RB,sea,a,gnb,0.3,5000
1,2017,2549, John,Kuhn,RB,nor,a,min,0.2,3000
1,2017,5568, Justin,Davis,RB,lar,h,ind,0.1,3000
1,2017,2916, Fozzy,Whittaker,RB,car,a,sfo,0.1,3700
1,2017,2871, Alfred,Morris,RB,dal,h,nyg,0.1,4400
1,2017,5414, Raheem,Mostert,RB,sfo,h,car,0,3000
1,2017,2825, James,Develin,RB,nwe,h,kan,0,3000
1,2017,5405, Corey,Grant,RB,jac,a,hou,0,3000
1,2017,5375, Terron,Ward,RB,atl,a,chi,0,3000
1,2017,2840, Jordan,Todman,RB,hou,h,jac,0,3000
1,2017,5374, Terrell,Watson,RB,pit,a,cle,0,3000
1,2017,5573, Trey,Edmunds,RB,nor,a,min,0,3000
1,2017,2911, Benny,Cunningham,RB,chi,h,atl,0,3600
1,2017,5544, Elijah,McGuire,RB,nyj,a,buf,0,3500
1,2017,2822, Anthony,Sherman,RB,kan,a,nwe,0,3000
1,2017,2874, Brandon,Bolden,RB,nwe,h,kan,0,3000
1,2017,5504, Derek,Watt,RB,lac,a,den,0,3000
1,2017,5492, Keith,Smith,RB,dal,h,nyg,0,3000
1,2017,5403, Roosevelt,Nix,RB,pit,a,cle,0,3000
1,2017,5546, Devante,Mays,RB,gnb,h,sea,0,3500
1,2017,5561, De'Angelo,Henderson,RB,den,h,lac,0,3600
1,2017,2905, Joe,Banyard,RB,buf,h,nyj,0,3000
1,2017,2820, Taiwan,Jones,RB,buf,h,nyj,0,3000
1,2017,3191, Rod,Smith,RB,dal,h,nyg,0,3900
1,2017,5538, Samaje,Perine,RB,was,h,phi,0,4200
1,2017,2909, Derrick,Coleman,RB,atl,a,chi,0,3000
1,2017,5482, Andy,Janovich,RB,den,h,lac,0,3000
1,2017,5413, Jalston,Fowler,RB,ten,h,oak,0,3000
1,2017,5406, Aaron,Ripkowski,RB,gnb,h,sea,0,3000
1,2017,2980, Jay,Prosch,RB,hou,h,jac,0,3000
