Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Injury
DST,Jaguars ,3800,CIN@JAX 11/05/2017 01:00PM ET,15.286,JAX,
DST,Titans ,3700,BAL@TEN 11/05/2017 01:00PM ET,6.143,TEN,
DST,Texans ,3600,IND@HOU 11/05/2017 01:00PM ET,8,HOU,
DST,Cardinals ,3500,ARI@SF 11/05/2017 04:05PM ET,4.714,ARI,
DST,Seahawks ,3500,WAS@SEA 11/05/2017 04:05PM ET,10,SEA,
DST,Saints ,3400,TB@NO 11/05/2017 01:00PM ET,10.286,NO,
DST,Eagles ,3300,DEN@PHI 11/05/2017 01:00PM ET,9.75,PHI,
DST,49ers ,3200,ARI@SF 11/05/2017 04:05PM ET,4,SF,
DST,Rams ,3100,LAR@NYG 11/05/2017 01:00PM ET,12.286,LAR,
DST,Giants ,3000,LAR@NYG 11/05/2017 01:00PM ET,6,NYG,
DST,Ravens ,2900,BAL@TEN 11/05/2017 01:00PM ET,13,BAL,
DST,Bengals ,2800,CIN@JAX 11/05/2017 01:00PM ET,7.857,CIN,
DST,Panthers ,2700,ATL@CAR 11/05/2017 01:00PM ET,8.5,CAR,
DST,Falcons ,2600,ATL@CAR 11/05/2017 01:00PM ET,5.143,ATL,
DST,Broncos ,2600,DEN@PHI 11/05/2017 01:00PM ET,6.429,DEN,
DST,Chiefs ,2500,KC@DAL 11/05/2017 04:25PM ET,8.75,KC,
DST,Redskins ,2400,WAS@SEA 11/05/2017 04:05PM ET,7.143,WAS,
DST,Cowboys ,2300,KC@DAL 11/05/2017 04:25PM ET,8.143,DAL,
DST,Buccaneers ,2100,TB@NO 11/05/2017 01:00PM ET,5.571,TB,
DST,Colts ,2000,IND@HOU 11/05/2017 01:00PM ET,6.25,IND,
QB,Deshaun Watson,8100,IND@HOU 11/05/2017 01:00PM ET,26.266,HOU,1
QB,Russell Wilson,7300,WAS@SEA 11/05/2017 04:05PM ET,24.531,SEA,
QB,Drew Brees,7000,TB@NO 11/05/2017 01:00PM ET,18.591,NO,
QB,Dak Prescott,6700,KC@DAL 11/05/2017 04:25PM ET,21.366,DAL,
QB,Alex Smith,6500,KC@DAL 11/05/2017 04:25PM ET,22.58,KC,
QB,Cam Newton,6300,ATL@CAR 11/05/2017 01:00PM ET,18.893,CAR,
QB,Matt Ryan,6200,ATL@CAR 11/05/2017 01:00PM ET,15.966,ATL,
QB,Carson Wentz,6100,DEN@PHI 11/05/2017 01:00PM ET,23.103,PHI,
QB,Marcus Mariota,6000,BAL@TEN 11/05/2017 01:00PM ET,16.24,TEN,
QB,Jameis Winston,5800,TB@NO 11/05/2017 01:00PM ET,17.489,TB,1
QB,Kirk Cousins,5700,WAS@SEA 11/05/2017 04:05PM ET,21.157,WAS,
QB,Carson Palmer,5600,ARI@SF 11/05/2017 04:05PM ET,16.909,ARI,1
QB,Jared Goff,5500,LAR@NYG 11/05/2017 01:00PM ET,16.209,LAR,
QB,Andrew Luck,5400,IND@HOU 11/05/2017 01:00PM ET,0,IND,1
QB,Derek Anderson,5300,ATL@CAR 11/05/2017 01:00PM ET,0.68,CAR,
QB,Jacoby Brissett,5200,IND@HOU 11/05/2017 01:00PM ET,14.398,IND,
QB,Andy Dalton,5000,CIN@JAX 11/05/2017 01:00PM ET,15.217,CIN,
QB,C.J. Beathard,4900,ARI@SF 11/05/2017 04:05PM ET,10.82,SF,
QB,Ryan Fitzpatrick,4800,TB@NO 11/05/2017 01:00PM ET,11.2,TB,
QB,Eli Manning,4800,LAR@NYG 11/05/2017 01:00PM ET,15.443,NYG,
QB,Brian Hoyer,4800,ARI@SF 11/05/2017 04:05PM ET,12.25,SF,
QB,AJ McCarron,4700,CIN@JAX 11/05/2017 01:00PM ET,0,CIN,
QB,Blake Bortles,4700,CIN@JAX 11/05/2017 01:00PM ET,14.517,JAX,
QB,Trevor Siemian,4700,DEN@PHI 11/05/2017 01:00PM ET,15.523,DEN,
